source	target	score
ENO1	G6PD	0.8
ENO1	TKT	0.6
ENO1	H6PD	0.8
ENO1	TALDO1	0.8
ENO1	ENO3	0.36
ENO1	PKLR	0.9
ENO1	GPI	0.8
ENO1	PKM	0.9
ENO3	PKM	0.9
ENO3	TALDO1	0.8
ENO3	GPI	0.8
ENO3	PKLR	0.9
G6PD	GCK	0.8
G6PD	GAPDH	0.8
G6PD	TPI1	0.8
G6PD	PGLS	0.9
G6PD	HK2	0.8
G6PD	HK3	0.8
G6PD	PKM	0.8
G6PD	PKLR	0.8
G6PD	PGM1	0.8
G6PD	H6PD	0.9
G6PD	HK1	0.8
G6PD	GPI	0.9
GAPDH	TALDO1	0.8
GAPDH	H6PD	0.8
GAPDH	TKT	0.8
GAPDH	GPI	0.8
GAPDH	TPI1	0.9
GCK	TKT	0.8
GCK	TALDO1	0.8
GCK	PGM1	0.9
GCK	H6PD	0.8
GCK	GPI	0.9
GFPT1	GNPNAT1	0.9
GFPT1	GFPT2	0.8
GFPT1	HK2	0.9
GFPT1	HK3	0.9
GFPT1	MPI	0.9
GFPT1	HKDC1	0.9
GFPT1	HK1	0.9
GFPT1	GPI	0.9
GFPT2	GNPNAT1	0.9
GFPT2	HK3	0.9
GFPT2	HKDC1	0.9
GFPT2	HK2	0.9
GFPT2	MPI	0.9
GFPT2	GPI	0.9
GFPT2	HK1	0.9
GNPNAT1	HK2	0.9
GNPNAT1	HK3	0.9
GNPNAT1	HKDC1	0.9
GNPNAT1	HK1	0.9
GPI	TPI1	0.8
GPI	PFKL	0.9
GPI	HK2	0.9
GPI	HK3	0.9
GPI	MPI	0.9
GPI	PKM	0.8
GPI	TALDO1	0.9
GPI	PKLR	0.8
GPI	PFKM	0.9
GPI	HKDC1	0.9
GPI	PGM1	0.9
GPI	PFKP	0.9
GPI	TKT	0.9
GPI	HK1	0.9
GPI	H6PD	0.9
H6PD	TPI1	0.8
H6PD	PGLS	0.9
H6PD	PGD	0.9
H6PD	HK2	0.8
H6PD	HK3	0.8
H6PD	PKM	0.8
H6PD	PKLR	0.8
H6PD	PGM1	0.8
H6PD	IDNK	0.9
H6PD	HK1	0.8
HK1	PMM1	0.9
HK1	KHK	0.9
HK1	PMM2	0.9
HK1	PFKL	0.65
HK1	HK2	0.8
HK1	HK3	0.8
HK1	MPI	0.9
HK1	TALDO1	0.8
HK1	PFKM	0.65
HK1	HKDC1	0.8
HK1	PGM1	0.9
HK1	PFKP	0.65
HK2	PMM1	0.9
HK2	KHK	0.9
HK2	PMM2	0.9
HK2	TALDO1	0.8
HK2	PFKM	0.65
HK2	MPI	0.9
HK2	PGM1	0.9
HK2	HK3	0.8
HK3	PMM1	0.9
HK3	KHK	0.9
HK3	PMM2	0.9
HK3	PGM1	0.9
HK3	MPI	0.9
HK3	HKDC1	0.8
HKDC1	PMM1	0.9
HKDC1	KHK	0.9
HKDC1	PMM2	0.9
HKDC1	MPI	0.9
HKDC1	PGM1	0.9
IDNK	PGLS	0.9
IDNK	PGD	0.9
MPI	PMM1	0.9
MPI	PMM2	0.9
MPI	PFKL	0.9
MPI	PFKM	0.9
MPI	PFKP	0.9
PFKL	TKT	0.9
PFKL	TALDO1	0.9
PFKL	PFKP	0.9
PFKL	PFKM	0.9
PFKM	TALDO1	0.9
PFKM	TKT	0.9
PFKM	PFKP	0.8
PFKP	TALDO1	0.9
PFKP	TKT	0.9
PGD	PGLS	0.9
PGM1	TALDO1	0.8
PGM1	TKT	0.9
PKLR	TALDO1	0.8
PKLR	TKT	0.8
PKM	TALDO1	0.8
PKM	TKT	0.8
PMM1	PMM2	0.8
TALDO1	TPI1	0.8
TALDO1	TKT	0.9
TKT	TPI1	0.8
