set seed
GAGAergic_GO ENSG00000243495
GAGAergic_GO ENSG00000146414
GAGAergic_GO ENSG00000271686
GAGAergic_GO ENSG00000273633
GAGAergic_GO ENSG00000188739
GAGAergic_GO ENSG00000138686
GAGAergic_GO ENSG00000251614
GAGAergic_GO ENSG00000148572
GAGAergic_GO ENSG00000242618
GAGAergic_GO ENSG00000268460
GAGAergic_GO ENSG00000174130
GAGAergic_GO ENSG00000258001
GAGAergic_GO ENSG00000232271
GAGAergic_GO ENSG00000260747
GAGAergic_GO ENSG00000258768
GAGAergic_GO ENSG00000222028
GAGAergic_GO ENSG00000278552
GAGAergic_GO ENSG00000164105
GAGAergic_GO ENSG00000242660
GAGAergic_GO ENSG00000252692
GAGAergic_GO ENSG00000168807
GAGAergic_GO ENSG00000184730
GAGAergic_GO ENSG00000149541
GAGAergic_GO ENSG00000236858
GAGAergic_GO ENSG00000273679
GAGAergic_GO ENSG00000225882
GAGAergic_GO ENSG00000005513
GAGAergic_GO ENSG00000159596
GAGAergic_GO ENSG00000261329
GAGAergic_GO ENSG00000252209
GAGAergic_GO ENSG00000127329
GAGAergic_GO ENSG00000207073
GAGAergic_GO ENSG00000173805
GAGAergic_GO ENSG00000145864
GAGAergic_GO ENSG00000151834
GAGAergic_GO ENSG00000214285
GAGAergic_GO ENSG00000160446
GAGAergic_GO ENSG00000010322
GAGAergic_GO ENSG00000145863
GAGAergic_GO ENSG00000152910
GAGAergic_GO ENSG00000128271
GAGAergic_GO ENSG00000139182
GAGAergic_GO ENSG00000154822
GAGAergic_GO ENSG00000122733
GAGAergic_GO ENSG00000006128
GAGAergic_GO ENSG00000185666
GAGAergic_GO ENSG00000180914
GAGAergic_GO ENSG00000163485
GAGAergic_GO ENSG00000157103
