NodeNames	Score	rank	num_in_network	num_seeds	networks	modname	seed_geneset
H6PD	0.000708409843571125	1	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
GPI	0.000703629930110903	2	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
PFKP	0.000577282091004438	3	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
HK1	0.00051563933963074	4	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
GFPT2	0.000494127411271266	5	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
PKM	0.000479396254294575	6	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
PMM2	0.000467635287036368	7	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
PFKL	0.000455932931955921	8	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
TKT	0.000445911938359892	9	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
TALDO1	0.000437182056406961	10	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
HK3	0.00043138231110334	11	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
PGM1	0.000308684267023793	12	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
HK2	0.000228812159895057	13	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
MPI	0.000220171898797345	14	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
PGD	0.000184678372448088	15	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
GNPNAT1	0.000182591740440084	16	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
PGLS	0.000151501726588881	17	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
KHK	3.3120119826546e-05	18	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
IDNK	1.55902468893594e-05	19	12	12	automated_textmining_coexpression_combined_score_database_annotated_experimentally_determined_interaction_gene_fusion_homology_neighborhood_on_chromosome_phylogenetic_cooccurrence	default	setA1
